Team,Date,Event,Opponent,OpponentCountry,Map,TeamScore,OpponentScore,W/L
Exceed,2024/09/28,Telkom VS Gaming Masters 2024 Finals,Nixuh,South Africa,Dust2,13,5,W
Exceed,2024/09/28,Telkom VS Gaming Masters 2024 Finals,Nixuh,South Africa,Ancient,13,7,W
Monarch Realm,2024/09/29,Telkom VS Gaming Masters 2024 Finals,Nixuh,South Africa,Mirage,13,11,W
Monarch Realm,2024/09/29,Telkom VS Gaming Masters 2024 Finals,Nixuh,South Africa,Ancient,13,11,W
Monarch Realm,2024/09/28,Telkom VS Gaming Masters 2024 Finals,Punishers,South Africa,Ancient,7,13,L
Monarch Realm,2024/09/28,Telkom VS Gaming Masters 2024 Finals,Punishers,South Africa,Anubis,6,13,L
Kitsune,2024/11/15,IESF World Championship 2024,Serbia,Serbia,Ancient,2,13,L
Kitsune,2024/11/15,IESF World Championship 2024,The Huns,Mongolia,Dust2,10,13,L
Kitsune,2024/11/14,IESF World Championship 2024,Slovakia,Slovakia,Dust2,5,13,L
Kitsune,2024/11/13,IESF World Championship 2024,Argentina,Argentina,Mirage,3,13,L
Kitsune,2024/11/13,IESF World Championship 2024,Czech Republic,Czech Republic,Ancient,11,13,L
Kitsune,2024/08/21,IESF African Esports Championship 2024,Tunisia,Tunisia,Inferno,10,13,L
Kitsune,2024/08/21,IESF African Esports Championship 2024,Tunisia,Tunisia,Anubis,6,13,L
Kitsune,2024/01/27,PGL CS2 Major Copenhagen 2024 Middle East RMR Closed Qualifier,Shush,Asia,Anubis,5,13,L
Kitsune,2024/01/27,PGL CS2 Major Copenhagen 2024 Middle East RMR Closed Qualifier,Shush,Asia,Overpass,13,10,W
Kitsune,2024/01/27,PGL CS2 Major Copenhagen 2024 Middle East RMR Closed Qualifier,Shush,Asia,Mirage,4,13,L
Kitsune,2024/01/26,PGL CS2 Major Copenhagen 2024 Middle East RMR Closed Qualifier,Bravado,South Africa,Ancient,0,13,L
Goliath,2024/01/09,PGL CS2 Major Copenhagen 2024 ZA RMR Open Qualifier,ELUSIVEza's party,South Africa,Ancient,13,3,W
Goliath,2024/01/09,PGL CS2 Major Copenhagen 2024 ZA RMR Open Qualifier,ELUSIVEza's party,South Africa,Anubis,13,6,W
Goliath,2024/01/09,PGL CS2 Major Copenhagen 2024 ZA RMR Open Qualifier,Bravado,South Africa,Vertigo,7,13,L
Goliath,2024/01/09,PGL CS2 Major Copenhagen 2024 ZA RMR Open Qualifier,Bravado,South Africa,Ancient,13,4,W
Goliath,2024/01/09,PGL CS2 Major Copenhagen 2024 ZA RMR Open Qualifier,Bravado,South Africa,Overpass,8,13,L
Goliath,2023/09/25,Telkom VS Gaming Masters 2023,NIBBLE,South Africa,Vertigo,16,5,W
Goliath,2023/09/25,Telkom VS Gaming Masters 2023,NIBBLE,South Africa,Inferno,12,16,L
Goliath,2023/09/25,Telkom VS Gaming Masters 2023,NIBBLE,South Africa,Overpass,16,10,W
Goliath,2023/09/24,Telkom VS Gaming Masters 2023,Bravado,South Africa,Vertigo,13,16,L
Goliath,2023/09/24,Telkom VS Gaming Masters 2023,Bravado,South Africa,Anubis,9,16,L
Goliath,2023/08/12,SOUZERN Championship Series 2023,Nixuh,South Africa,Overpass,9,16,L
Goliath,2023/08/12,SOUZERN Championship Series 2023,Nixuh,South Africa,Inferno,3,16,L
